"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"10000000","ALA00001","24","adopted","Sewer Funds","C700009","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"4000000","ALA00002","24","adopted","Sewer Funds","C700009","Public Utilities","Pure Water Phase 2","Undistributed Budget","512117"
"4993313","ATT00002","24","adopted","Sewer Funds","C700009","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"2978000","L22000","24","adopted","Sewer Funds","C700009","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"9100349","P19002","24","adopted","Sewer Funds","C700009","Public Utilities","Pure Water Pooled Contingency","Undistributed Budget","512117"
"1184265","S17012","24","adopted","Sewer Funds","C700009","Public Utilities","NCWRP Improvements to 30 mgd","Undistributed Budget","512117"
"1989150","S17013","24","adopted","Sewer Funds","C700009","Public Utilities","MBC Equipment Upgrades","Undistributed Budget","512117"
"400000","S21003","24","adopted","Sewer Funds","C700009","Public Utilities","Enviro Monitoring Tech Svcs Div Lab Remodel at NTC","Undistributed Budget","512117"
"3000000","S22001","24","adopted","Sewer Funds","C700009","Public Utilities","North/South Metro Interceptors Rehabilitation","Undistributed Budget","512117"
"2300000","ABI00001","24","adopted","Water Fund","C700010","Public Utilities","Water Treatment Plants","Undistributed Budget","512117"
"1847407","ABL00001","24","adopted","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"3319877","AKA00002","24","adopted","Water Fund","C700010","Public Utilities","Pressure Reduction Facility Upgrades","Undistributed Budget","512117"
"11678160","AKA00003","24","adopted","Water Fund","C700010","Public Utilities","Large Diameter Water Transmission PPL","Undistributed Budget","512117"
"99388939","AKB00003","24","adopted","Water Fund","C700010","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"66510000","ALA00001","24","adopted","Water Fund","C700010","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"7000000","ALA00002","24","adopted","Water Fund","C700010","Public Utilities","Pure Water Phase 2","Undistributed Budget","512117"
"1270819","ATT00002","24","adopted","Water Fund","C700010","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"2390000","L22000","24","adopted","Water Fund","C700010","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"950000","L23001","24","adopted","Water Fund","C700010","Public Utilities","El Camino Real Pipeline","Undistributed Budget","512117"
"14847939","P19002","24","adopted","Water Fund","C700010","Public Utilities","Pure Water Pooled Contingency","Undistributed Budget","512117"
"20000000","S11026","24","adopted","Water Fund","C700010","Public Utilities","Montezuma/Mid-City Pipeline Phase II","Undistributed Budget","512117"
"1000000","S12012","24","adopted","Water Fund","C700010","Public Utilities","Cielo & Woodman Pump Station","Undistributed Budget","512117"
"18000000","S12013","24","adopted","Water Fund","C700010","Public Utilities","Alvarado 2nd Extension Pipeline","Undistributed Budget","512117"
"6000000","S15016","24","adopted","Water Fund","C700010","Public Utilities","Otay Second Pipeline Relocation-PA","Undistributed Budget","512117"
"1000000","S21000","24","adopted","Water Fund","C700010","Public Utilities","Otay 2nd Pipeline St Replacement Ph 5","Undistributed Budget","512117"
"7560000","S22013","24","adopted","Water Fund","C700010","Public Utilities","Dams & Reservoirs Security Improvements","Undistributed Budget","512117"
"5000000","S23002","24","adopted","Water Fund","C700010","Public Utilities","Lake Hodges Dam Replacement","Undistributed Budget","512117"
"500000","S24000","24","adopted","Water Fund","C700010","Public Utilities","Alvarado WTP Filter Gallery Piping Repl","Undistributed Budget","512117"
"2500000","S24001","24","adopted","Water Fund","C700010","Public Utilities","Morena Dam Upstream Face Replacement","Undistributed Budget","512117"
"2000000","S24002","24","adopted","Water Fund","C700010","Public Utilities","Barret Dam Outlet Bulkhead & Drawdown Improvements","Undistributed Budget","512117"
"2000000","S24003","24","adopted","Water Fund","C700010","Public Utilities","Lower Otay Dam Outlet Improvements","Undistributed Budget","512117"
"3500000","T22001","24","adopted","Water Fund","C700010","Public Utilities","Water SCADA IT Upgrades","Undistributed Budget","512117"
"190000","T24000","24","adopted","Water Fund","C700010","Department of Information Technology","Electronic Positive Response Software","Undistributed Budget","512117"
"1500000","AAA00002","24","adopted","Airport Funds","C700028","Airport Management","Brown Field","Undistributed Budget","512117"
"3114497","AAA00001","24","adopted","Airport Funds","C700030","Airport Management","Montgomery-Gibbs Executive Airport","Undistributed Budget","512117"
"400000","AFA00001","24","adopted","Refuse Disposal Fund","C700040","Environmental Services","Minor Improvements to Landfills","Undistributed Budget","512117"
"325521","S22010","24","adopted","EDCO Community Fund","C700042","Library","Old Logan Heights Library Renovation","Undistributed Budget","512117"
"4000000","AEA00002","24","adopted","Golf Course Enterprise Fund","C700044","Parks & Recreation","Balboa Park Golf Course","Undistributed Budget","512117"
"10000000","L17000","24","adopted","Recycling Fund","C700049","Environmental Services","Miramar Landfill Facility Improvements","Undistributed Budget","512117"
"2325000","ABT00001","19","adopted","Infrastructure Fund","C100012","General Services","City Facilities Improvements","Undistributed Budget","512117"
"1250000","AGF00007","19","adopted","Infrastructure Fund","C100012","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"800000","AIA00001","19","adopted","Infrastructure Fund","C100012","Transportation","Minor Bike Facilities","Undistributed Budget","512117"
"5000000","AID00005","19","adopted","Infrastructure Fund","C100012","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"1271068","AIH00001","19","adopted","Infrastructure Fund","C100012","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"5000000","AIK00003","19","adopted","Infrastructure Fund","C100012","Transportation","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"200000","AIL00001","19","adopted","Infrastructure Fund","C100012","Transportation","Traffic Calming","Undistributed Budget","512117"
"200000","P19001","19","adopted","Infrastructure Fund","C100012","Transportation","Ysabel Creek Road Repair","Undistributed Budget","512117"
"200000","S15011","19","adopted","Infrastructure Fund","C100012","Library","Tierrasanta Library Expansion","Undistributed Budget","512117"
"40000","S16016","19","adopted","Infrastructure Fund","C100012","Parks & Recreation","Kelly St Neighborhood Pk Security Lighting Upgrade","Undistributed Budget","512117"
"60000","S16017","19","adopted","Infrastructure Fund","C100012","Parks & Recreation","Encanto Comm Pk Security Lighting Upgrades","Undistributed Budget","512117"
"175000","S16018","19","adopted","Infrastructure Fund","C100012","Parks & Recreation","Marie Widman Memorial Pk Security Lighting Upgrade","Undistributed Budget","512117"
"70000","S16021","19","adopted","Infrastructure Fund","C100012","Parks & Recreation","Skyline Hills Comm Pk Security Lighting Upgrades","Undistributed Budget","512117"
"500000","S18008","19","adopted","Infrastructure Fund","C100012","Parks & Recreation","Chicano Park Recreation Center","Undistributed Budget","512117"
"150000","L12000","19","adopted","Maintenance Assessment Districts","C200038","Parks & Recreation","Convert RB Medians-Asphalt to Concrete","Undistributed Budget","512117"
"20000","S17001","19","adopted","Maintenance Assessment Districts","C200076","Parks & Recreation","Talmadge Traffic Calming Infrastructure","Undistributed Budget","512117"
"3000000","AID00005","19","adopted","Gas Tax Fund","C200118","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"2000000","AID00005","19","adopted","Trench Cut/Excavation Fee Fund","C200203","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"5000000","AID00001","19","adopted","Utilities Undergrounding Program Fund","C200218","Transportation","Utilities Undergrounding Program","Undistributed Budget","512117"
"100000","ATT00001","19","adopted","Utilities Undergrounding Program Fund","C200218","Department of Information Technology","Governmental Funded IT Projects","Undistributed Budget","512117"
"6591611","AGF00004","19","adopted","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"150000","ABT00001","19","adopted","San Diego Regional Parks Improvement Fund","C200391","General Services","City Facilities Improvements","Undistributed Budget","512117"
"792635","AGF00005","19","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Regional Park Improvements","Undistributed Budget","512117"
"400000","L12003","19","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Museum of Man Seismic Retrofit","Undistributed Budget","512117"
"350000","L18001","19","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Chollas Lake Improvements","Undistributed Budget","512117"
"150000","S10065","19","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Mission Trails RP Cowles Mountain Trail","Undistributed Budget","512117"
"250000","S10066","19","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Mission Trails RP Trail Realignments","Undistributed Budget","512117"
"1456694","S15035","19","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","EB Scripps Pk Comfort Station Replacement","Undistributed Budget","512117"
